# Ef_eV: 0.0
# A_cell_A2: 100.0
E_eV,T_total
-0.22749999999999998,1.1480302315266776e-06
-0.22625,1.1848519927506865e-06
-0.22499999999999998,1.2228664165982891e-06
-0.22375,1.2621125536116692e-06
-0.22249999999999998,1.3026307482698744e-06
-0.22125,1.3444626824293974e-06
-0.21999999999999997,1.3876514202442574e-06
-0.21875,1.4322414546167936e-06
-0.21749999999999997,1.4782787552321438e-06
-0.21625,1.5258108182312247e-06
-0.21499999999999997,1.5748867175790776e-06
-0.21375,1.6255571581872552e-06
-0.21249999999999997,1.6778745308512103e-06
-0.21125,1.7318929690655613e-06
-0.21000000000000002,1.7876684077826444e-06
-0.20875,1.8452586441816558e-06
-0.20750000000000002,1.9047234005185156e-06
-0.20625,1.966124389128704e-06
-0.20500000000000002,2.0295253796580756e-06
-0.20375,2.094992268599267e-06
-0.2025,2.1625931512140305e-06
-0.20124999999999998,2.232398395924749e-06
-0.2,2.304480721261176e-06
-0.19874999999999998,2.3789152754518275e-06
-0.1975,2.455779718752174e-06
-0.19624999999999998,2.535154308605502e-06
-0.195,2.6171219877353806e-06
-0.19374999999999998,2.701768475272454e-06
-0.1925,2.789182361021701e-06
-0.19124999999999998,2.87945520298032e-06
-0.19,2.972681628220091e-06
-0.18874999999999997,3.068959437252344e-06
-0.1875,3.1683897119977096e-06
-0.18624999999999997,3.2710769274873427e-06
-0.185,3.3771290674266385e-06
-0.18374999999999997,3.486657743757442e-06
-0.1825,3.5997783203592436e-06
-0.18124999999999997,3.716610041035293e-06
-0.18,3.837276161934389e-06
-0.17875000000000002,3.961904088564916e-06
-0.1775,4.09062551756288e-06
-0.17625000000000002,4.223576583381923e-06
-0.175,4.360898010079072e-06
-0.17375000000000002,4.502735268376195e-06
-0.1725,4.6492387381839036e-06
-0.17125,4.800563876780924e-06
-0.16999999999999998,4.956871392849404e-06
-0.16875,5.118327426573341e-06
-0.16749999999999998,5.285103736015276e-06
-0.16625,5.457377889993666e-06
-0.16499999999999998,5.635333467691939e-06
-0.16375,5.819160265237951e-06
-0.16249999999999998,6.009054509501818e-06
-0.16125,6.205219079368445e-06
-0.15999999999999998,6.407863734751083e-06
-0.15875,6.617205353620994e-06
-0.15749999999999997,6.833468177339174e-06
-0.15625,7.0568840645856995e-06
-0.15499999999999997,7.287692754193661e-06
-0.15375,7.526142137204978e-06
-0.15249999999999997,7.772488538477948e-06
-0.15125,8.02699700818721e-06
-0.14999999999999997,8.289941623570357e-06
-0.14875,8.561605801287173e-06
-0.14750000000000002,8.842282620771925e-06
-0.14625,9.132275158971986e-06
-0.14500000000000002,9.431896836881087e-06
-0.14375,9.741471778290173e-06
-0.14250000000000002,1.0061335181194066e-05
-0.14125,1.0391833702308611e-05
-0.14,1.0733325855168884e-05
-0.13874999999999998,1.1086182422297247e-05
-0.1375,1.1450786881946668e-05
-0.13624999999999998,1.1827535849944529e-05
-0.135,1.2216839537180079e-05
-0.13374999999999998,1.2619122223299895e-05
-0.1325,1.3034822747195113e-05
-0.13124999999999998,1.3464395014886798e-05
-0.13,1.3908308525436954e-05
-0.12874999999999998,1.4367048915536811e-05
-0.1275,1.4841118523446885e-05
-0.12624999999999997,1.5331036972989184e-05
-0.125,1.583734177831642e-05
